,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
27938,56576,56578.0,1.0,2.0,0.0006956982937833093,2022-10-19 10:46:00,2022-10-19 10:48:00
27939,56578,56580.0,-1.0,2.0,-0.0004304279513521413,2022-10-19 10:48:00,2022-10-19 10:50:00
27940,56580,56581.0,1.0,1.0,0.0009264468121201973,2022-10-19 10:50:00,2022-10-19 10:51:00
27941,56581,56583.0,-1.0,2.0,0.0008933446422698141,2022-10-19 10:51:00,2022-10-19 10:53:00
27942,56583,56585.0,1.0,2.0,-0.00019862945740164848,2022-10-19 10:53:00,2022-10-19 10:55:00
27943,56585,56586.0,-1.0,1.0,0.0009937395232964203,2022-10-19 10:55:00,2022-10-19 10:56:00
27944,56587,56588.0,-1.0,1.0,-0.00019886646182665273,2022-10-19 10:57:00,2022-10-19 10:58:00
27945,56588,56589.0,1.0,1.0,0.0007288388594954982,2022-10-19 10:58:00,2022-10-19 10:59:00
27946,56590,56592.0,-1.0,2.0,0.0009283204698233648,2022-10-19 11:00:00,2022-10-19 11:02:00
27947,56593,56594.0,1.0,1.0,0.00026538397900004927,2022-10-19 11:03:00,2022-10-19 11:04:00
27948,56594,56598.0,-1.0,4.0,3.316914606352831e-05,2022-10-19 11:04:00,2022-10-19 11:08:00
27949,56598,56599.0,1.0,1.0,0.000364800110169176,2022-10-19 11:08:00,2022-10-19 11:09:00
27950,56599,56604.0,-1.0,5.0,0.00029846291819838466,2022-10-19 11:09:00,2022-10-19 11:14:00
27951,56604,56606.0,1.0,2.0,6.633279163978159e-05,2022-10-19 11:14:00,2022-10-19 11:16:00
27952,56606,56607.0,-1.0,1.0,-3.316474587834823e-05,2022-10-19 11:16:00,2022-10-19 11:17:00
27953,56607,56609.0,1.0,2.0,0.0002652783780518654,2022-10-19 11:17:00,2022-10-19 11:19:00
27954,56609,56610.0,-1.0,1.0,6.631299737168607e-05,2022-10-19 11:19:00,2022-10-19 11:20:00
27955,56610,56612.0,1.0,2.0,0.000530380892202378,2022-10-19 11:20:00,2022-10-19 11:22:00
27956,56613,56615.0,1.0,2.0,-0.00019877422626320344,2022-10-19 11:23:00,2022-10-19 11:25:00
27957,56615,56616.0,-1.0,1.0,0.0002982354425219145,2022-10-19 11:25:00,2022-10-19 11:26:00
27958,56616,56617.0,1.0,1.0,-0.0003646308153438089,2022-10-19 11:26:00,2022-10-19 11:27:00
27959,56617,56618.0,-1.0,1.0,0.0005637819971243077,2022-10-19 11:27:00,2022-10-19 11:28:00
27960,56619,56620.0,1.0,1.0,-0.00023226106247717593,2022-10-19 11:29:00,2022-10-19 11:30:00
27961,56621,56622.0,1.0,1.0,-0.0004982478387772293,2022-10-19 13:00:00,2022-10-19 13:01:00
27962,56622,56624.0,-1.0,2.0,0.001329875852624217,2022-10-19 13:01:00,2022-10-19 13:03:00
27963,56624,56627.0,1.0,3.0,0.0006651589975185198,2022-10-19 13:03:00,2022-10-19 13:06:00
27964,56627,56629.0,-1.0,2.0,-9.973570047658097e-05,2022-10-19 13:06:00,2022-10-19 13:08:00
27965,56629,56631.0,1.0,2.0,3.3243023123715555e-05,2022-10-19 13:08:00,2022-10-19 13:10:00
27966,56631,56632.0,-1.0,1.0,0.00013297872360020494,2022-10-19 13:10:00,2022-10-19 13:11:00
